City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ulladulla,90,AU,1579909943,94,-35.35,150.47,78.01,1.12
hermanus,0,ZA,1579909943,95,-34.42,19.23,68.0,10.02
cidreira,0,BR,1579909345,77,-30.18,-50.21,73.29,9.78
jos,9,NG,1579909944,17,9.92,8.9,54.46,5.26
hami,0,CN,1579909944,53,42.8,93.45,13.21,2.1
atuona,10,PF,1579909944,72,-9.8,-139.03,81.27,9.73
ubata,100,BR,1579909944,99,-14.21,-39.52,71.37,2.13
cabo san lucas,90,MX,1579909753,72,22.89,-109.91,69.8,9.17
rikitea,0,PF,1579909945,76,-23.12,-134.97,78.67,14.29
poli,99,TZ,1579909945,86,-3.33,36.8,68.85,1.77
vaini,20,TO,1579909945,70,-21.2,-175.2,84.2,13.87
alofi,100,NU,1579909689,94,-19.06,-169.92,80.6,5.82
hilo,90,US,1579909945,61,19.73,-155.09,80.6,6.93
mahebourg,75,MU,1579909352,100,-20.41,57.7,80.01,12.75
pisco,69,PE,1579909664,30,-13.7,-76.22,73.99,11.41
olafsvik,100,IS,1579909946,79,64.89,-23.71,30.49,29.97
bereda,95,ES,1579909947,100,43.27,-7.54,45.0,5.82
busselton,29,AU,1579909947,43,-33.65,115.33,77.0,11.68
saint-philippe,86,RE,1579909947,100,-21.36,55.77,78.8,24.16
butaritari,100,KI,1579909947,68,3.07,172.79,84.61,3.83
chumikan,43,RU,1579909566,75,54.72,135.31,-13.13,14.47
puerto ayora,20,EC,1579909947,62,-0.74,-90.35,84.2,14.99
codrington,63,AU,1579909948,83,-38.27,141.97,62.46,12.41
arcachon,75,FR,1579909948,100,44.59,-1.05,44.6,2.24
avarua,95,CK,1579909949,83,-21.21,-159.78,84.2,9.17
nikolskoye,75,RU,1579909461,86,59.7,30.79,35.01,8.95
talnakh,40,RU,1579909410,84,69.49,88.4,6.8,15.66
padang,1,ID,1579909199,92,-0.95,100.35,68.45,4.21
ushuaia,75,AR,1579909949,76,-54.8,-68.3,51.8,2.42
barrow,1,US,1579909354,75,71.29,-156.79,-20.2,10.29
nioro,56,GM,1579909401,25,13.35,-15.75,84.78,7.76
